

JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2004 Hingga 31/12/2004 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
SAMUN BERKAWAN BERS/API,10,2,1,13,2,2,0,8,0,2,3,15,7,0,65
SAMUN BERKAWAN TANPA BERS/API,1308,461,71,2272,610,474,234,539,17,406,118,281,4028,88,10907
SAMUN BERSENJATAPI,3,2,1,4,0,2,1,1,0,1,0,2,0,1,18
SAMUN TANPA S/API,447,194,25,710,276,223,58,197,9,224,60,76,905,59,3463
MENCEDERAKAN,708,398,291,643,193,259,209,412,52,312,213,414,1260,167,5531
JUMLAH KEKERASAN,2820,1239,543,3776,1154,1084,651,1295,109,1038,647,953,6610,407,22326
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,2073,1082,613,3595,519,1015,622,955,192,1010,1648,1330,4793,447,19894
CURI MOTOKAR,1443,497,614,2104,170,177,254,386,20,449,233,748,3309,203,10607
CURI MOTOSIKAL,4686,3125,1945,3864,1246,1053,1399,2112,228,2401,850,2006,8890,949,34754
CURI VAN/LORI/J'BERAT,400,111,90,495,25,116,103,118,4,110,136,174,1140,28,3050
CURI RAGUT,44,99,61,1288,6,6,29,60,17,191,96,75,983,8,2963
PECAH RUMAH DAN CURI,1475,1287,682,1867,544,1023,719,915,85,917,1757,1540,5497,452,18760
JUMLAH HARTABENDA,10121,6201,4005,13213,2510,3390,3126,4546,546,5078,4720,5873,24612,2087,90028
JUMLAH JENAYAH INDEKS,12941,7440,4548,16989,3664,4474,3777,5841,655,6116,5367,6826,31222,2494,112354
JUMLAH KECURIAN KENDERAAN,6529,3733,2649,6463,1441,1346,1756,2616,252,2960,1219,2928,13339,1180,48411
JUMLAH JENAYAH JALANAN,1799,754,157,4270,892,703,321,796,43,821,274,432,5916,155,17333
